0,norms
"spaghetti,olive oil,fromage blanc,pancakes,eggs,cereals,clothes accessories,yogurt cake,gluten free bar,fresh bread,green tea","cereals,clothes accessories,eggs,fresh bread,fromage blanc,gluten free bar,green tea,olive oil,pancakes,spaghetti,yogurt cake"
mineral water,mineral water
"burgers,red wine,spaghetti,milk,chicken,ham,chocolate,french fries","burgers,chicken,chocolate,french fries,ham,milk,red wine,spaghetti"
"burgers,frozen vegetables,mineral water,milk,olive oil,honey,chocolate","burgers,chocolate,frozen vegetables,honey,milk,mineral water,olive oil"
"grated cheese,ground beef,pepper,spaghetti,mineral water,chocolate,salmon,pancakes,eggs,escalope,cookies,fresh bread","chocolate,cookies,eggs,escalope,fresh bread,grated cheese,ground beef,mineral water,pancakes,pepper,salmon,spaghetti"
"chocolate,champagne","champagne,chocolate"
"meatballs,muffins,cottage cheese,strawberries,protein bar","cottage cheese,meatballs,muffins,protein bar,strawberries"
"french fries,light mayo","french fries,light mayo"
"chocolate,shrimp,whole wheat pasta,ground beef,milk,french fries","chocolate,french fries,ground beef,milk,shrimp,whole wheat pasta"
"turkey,frozen vegetables,avocado,butter,green grapes,cake,barbecue sauce,tomato juice","avocado,barbecue sauce,butter,cake,frozen vegetables,green grapes,tomato juice,turkey"
"burgers,mineral water,chocolate,pancakes,honey,cooking oil,light mayo,hand protein bar,zucchini,green tea","burgers,chocolate,cooking oil,green tea,hand protein bar,honey,light mayo,mineral water,pancakes,zucchini"
"chocolate,tomatoes,salmon","chocolate,salmon,tomatoes"
"energy bar,chicken,eggs,light mayo","chicken,eggs,energy bar,light mayo"
frozen smoothie,frozen smoothie
"grated cheese,olive oil,french wine,chicken,cider,bacon,honey,chocolate,french fries,frozen smoothie","bacon,chicken,chocolate,cider,french fries,french wine,frozen smoothie,grated cheese,honey,olive oil"
"turkey,ham,grated cheese,herb & pepper,red wine,shrimp,ground beef,spaghetti,mineral water,pancakes,whole wheat rice,cereals","cereals,grated cheese,ground beef,ham,herb pepper,mineral water,pancakes,red wine,shrimp,spaghetti,turkey,whole wheat rice"
french fries,french fries
"olive oil,antioxydant juice,french fries,cookies,hand protein bar,green tea","antioxydant juice,cookies,french fries,green tea,hand protein bar,olive oil"
"burgers,shrimp,ground beef,spaghetti,mineral water,eggs,whole wheat rice,cereals,chocolate","burgers,cereals,chocolate,eggs,ground beef,mineral water,shrimp,spaghetti,whole wheat rice"
"ground beef,spaghetti,mineral water,cooking oil","cooking oil,ground beef,mineral water,spaghetti"
pasta,pasta
"turkey,ground beef,pepper,spaghetti,chocolate,pancakes,rice,cookies","chocolate,cookies,ground beef,pancakes,pepper,rice,spaghetti,turkey"
green tea,green tea
"french fries,escalope,pasta","escalope,french fries,pasta"
"antioxydant juice,brownies","antioxydant juice,brownies"
"extra dark chocolate,mashed potato","extra dark chocolate,mashed potato"
burgers,burgers
chicken,chicken
antioxydant juice,antioxydant juice
antioxydant juice,antioxydant juice
"whole wheat pasta,olive oil,oil,clothes accessories,pasta,white wine,green tea","clothes accessories,green tea,oil,olive oil,pasta,white wine,whole wheat pasta"
"frozen vegetables,eggs","eggs,frozen vegetables"
french fries,french fries
"herb & pepper,hot dogs","herb pepper,hot dogs"
"frozen vegetables,spaghetti,mineral water,almonds,green grapes,whole wheat rice,cake,gums,eggplant,cereals,french fries,fresh bread,low fat yogurt,green tea","almonds,cake,cereals,eggplant,french fries,fresh bread,frozen vegetables,green grapes,green tea,gums,low fat yogurt,mineral water,spaghetti,whole wheat rice"
strawberries,strawberries
"soup,milk,olive oil,muffins","milk,muffins,olive oil,soup"
"chocolate,whole wheat pasta,spaghetti,cake,blueberries,oil,chicken","blueberries,cake,chicken,chocolate,oil,spaghetti,whole wheat pasta"
escalope,escalope
"tomato sauce,mineral water,almonds,eggs,cake,chocolate,brownies","almonds,brownies,cake,chocolate,eggs,mineral water,tomato sauce"
milk,milk
"burgers,ground beef,chicken,whole weat flour,frozen smoothie,escalope,hot dogs,green tea","burgers,chicken,escalope,frozen smoothie,green tea,ground beef,hot dogs,whole weat flour"
"frozen vegetables,avocado,milk,tomato juice","avocado,frozen vegetables,milk,tomato juice"
champagne,champagne
"cookies,honey","cookies,honey"
"chocolate,shrimp,pepper,spaghetti,mineral water,nonfat milk,blueberries,light cream,chicken,carrots","blueberries,carrots,chicken,chocolate,light cream,mineral water,nonfat milk,pepper,shrimp,spaghetti"
"turkey,shrimp,chocolate,olive oil,french wine,honey","chocolate,french wine,honey,olive oil,shrimp,turkey"
"chutney,eggs,body spray","body spray,chutney,eggs"
"whole wheat pasta,ground beef,spaghetti,meatballs,milk,bacon,soda,green tea","bacon,green tea,ground beef,meatballs,milk,soda,spaghetti,whole wheat pasta"
"frozen vegetables,ground beef,spaghetti,olive oil,strong cheese,eggs","eggs,frozen vegetables,ground beef,olive oil,spaghetti,strong cheese"
"turkey,escalope,pasta","escalope,pasta,turkey"
green tea,green tea
mineral water,mineral water
"pepper,mineral water","mineral water,pepper"
"pancakes,honey,barbecue sauce","barbecue sauce,honey,pancakes"
"tomato sauce,mineral water,milk,french wine,pancakes,light cream,cooking oil,chicken,extra dark chocolate,eggplant,champagne,cookies","champagne,chicken,cookies,cooking oil,eggplant,extra dark chocolate,french wine,light cream,milk,mineral water,pancakes,tomato sauce"
"french fries,energy drink","energy drink,french fries"
"frozen vegetables,chocolate,escalope,tomato juice","chocolate,escalope,frozen vegetables,tomato juice"
"burgers,shrimp,eggplant,brownies","brownies,burgers,eggplant,shrimp"
french fries,french fries
"frozen vegetables,strawberries,yogurt cake,gluten free bar","frozen vegetables,gluten free bar,strawberries,yogurt cake"
burgers,burgers
"mineral water,honey,frozen smoothie,cottage cheese,body spray","body spray,cottage cheese,frozen smoothie,honey,mineral water"
"energy bar,vegetables mix,energy drink,light mayo","energy bar,energy drink,light mayo,vegetables mix"
"turkey,burgers,grated cheese,ground beef,mineral water,milk,vegetables mix,escalope","burgers,escalope,grated cheese,ground beef,milk,mineral water,turkey,vegetables mix"
"milk,chocolate,french fries,escalope,pancakes,salad","chocolate,escalope,french fries,milk,pancakes,salad"
"spaghetti,eggplant,french fries,green tea","eggplant,french fries,green tea,spaghetti"
"milk,chocolate","chocolate,milk"
"mineral water,avocado,cake,chocolate,french fries,cottage cheese,pancakes,fresh bread,magazines","avocado,cake,chocolate,cottage cheese,french fries,fresh bread,magazines,mineral water,pancakes"
"grated cheese,eggs,pasta,hot dogs,sparkling water","eggs,grated cheese,hot dogs,pasta,sparkling water"
whole wheat pasta,whole wheat pasta
whole wheat pasta,whole wheat pasta
"spaghetti,mineral water,frozen smoothie,pancakes","frozen smoothie,mineral water,pancakes,spaghetti"
"chocolate,herb & pepper,ground beef,mineral water,soup,olive oil,light cream,oil,chicken,hot dogs","chicken,chocolate,ground beef,herb pepper,hot dogs,light cream,mineral water,oil,olive oil,soup"
"ground beef,spaghetti,bacon,french fries,pancakes,yogurt cake","bacon,french fries,ground beef,pancakes,spaghetti,yogurt cake"
frozen vegetables,frozen vegetables
"shrimp,frozen vegetables,green tea,french fries,frozen smoothie,cookies,light mayo","cookies,french fries,frozen smoothie,frozen vegetables,green tea,light mayo,shrimp"
"turkey,shrimp,whole wheat pasta,mineral water,milk,pancakes,bug spray,brownies,body spray","body spray,brownies,bug spray,milk,mineral water,pancakes,shrimp,turkey,whole wheat pasta"
champagne,champagne
"tomatoes,chocolate,french fries,frozen smoothie,cookies,low fat yogurt","chocolate,cookies,french fries,frozen smoothie,low fat yogurt,tomatoes"
"burgers,cake,brownies","brownies,burgers,cake"
"eggs,light mayo","eggs,light mayo"
shrimp,shrimp
"burgers,ground beef,milk,whole wheat rice","burgers,ground beef,milk,whole wheat rice"
"tomatoes,butter,gums,cereals,chocolate,pancakes,light mayo,green tea","butter,cereals,chocolate,green tea,gums,light mayo,pancakes,tomatoes"
"mineral water,cake,low fat yogurt","cake,low fat yogurt,mineral water"
"turkey,ground beef,pepper,cookies","cookies,ground beef,pepper,turkey"
"spaghetti,milk,olive oil,oatmeal,frozen smoothie,pancakes,white wine,low fat yogurt","frozen smoothie,low fat yogurt,milk,oatmeal,olive oil,pancakes,spaghetti,white wine"
"chocolate,cookies,champagne","champagne,chocolate,cookies"
"mineral water,olive oil,eggs,green tea","eggs,green tea,mineral water,olive oil"
"mineral water,avocado,whole wheat rice,energy drink","avocado,energy drink,mineral water,whole wheat rice"
"pickles,vegetables mix,pancakes,green tea","green tea,pancakes,pickles,vegetables mix"
"mineral water,eggs","eggs,mineral water"
"grated cheese,herb & pepper","grated cheese,herb pepper"
gluten free bar,gluten free bar
"ground beef,spaghetti,mineral water,meatballs,fromage blanc,cooking oil","cooking oil,fromage blanc,ground beef,meatballs,mineral water,spaghetti"
"burgers,ground beef,escalope","burgers,escalope,ground beef"
"chocolate,french fries","chocolate,french fries"
turkey,turkey
"grated cheese,light mayo","grated cheese,light mayo"
"vegetables mix,energy drink","energy drink,vegetables mix"
"frozen vegetables,whole wheat pasta,mineral water,honey,cooking oil,frozen smoothie,tomato juice,fresh bread,green tea","cooking oil,fresh bread,frozen smoothie,frozen vegetables,green tea,honey,mineral water,tomato juice,whole wheat pasta"
"fresh tuna,frozen vegetables,mineral water,avocado,meatballs,milk,french wine,fromage blanc,honey,cereals,frozen smoothie,fresh bread","avocado,cereals,french wine,fresh bread,fresh tuna,fromage blanc,frozen smoothie,frozen vegetables,honey,meatballs,milk,mineral water"
"frozen vegetables,spaghetti,chocolate,olive oil,gums,burger sauce,frozen smoothie,pancakes,green tea","burger sauce,chocolate,frozen smoothie,frozen vegetables,green tea,gums,olive oil,pancakes,spaghetti"
"mineral water,olive oil","mineral water,olive oil"
"mineral water,soup,cake,frozen smoothie,low fat yogurt","cake,frozen smoothie,low fat yogurt,mineral water,soup"
champagne,champagne
"pickles,frozen smoothie,champagne,pancakes,mint","champagne,frozen smoothie,mint,pancakes,pickles"
"whole wheat pasta,mineral water,chocolate,pancakes,body spray","body spray,chocolate,mineral water,pancakes,whole wheat pasta"
"spaghetti,escalope,cookies,champagne,protein bar,hand protein bar,low fat yogurt","champagne,cookies,escalope,hand protein bar,low fat yogurt,protein bar,spaghetti"
"whole wheat pasta,olive oil,body spray","body spray,olive oil,whole wheat pasta"
"pepper,mineral water,chocolate,milk,nonfat milk,frozen smoothie","chocolate,frozen smoothie,milk,mineral water,nonfat milk,pepper"
milk,milk
"whole wheat pasta,frozen smoothie,brownies,energy drink","brownies,energy drink,frozen smoothie,whole wheat pasta"
green tea,green tea
"mineral water,milk,chocolate","chocolate,milk,mineral water"
"turkey,tomatoes,spaghetti,avocado,whole wheat rice,french fries","avocado,french fries,spaghetti,tomatoes,turkey,whole wheat rice"
"tomatoes,ground beef,mineral water,milk,honey,french fries,pancakes,tomato juice","french fries,ground beef,honey,milk,mineral water,pancakes,tomato juice,tomatoes"
"tomatoes,eggs,chocolate,french fries,low fat yogurt","chocolate,eggs,french fries,low fat yogurt,tomatoes"
"spaghetti,mineral water,whole wheat rice","mineral water,spaghetti,whole wheat rice"
red wine,red wine
"grated cheese,ground beef,spaghetti,mineral water,olive oil,pancakes,cake,extra dark chocolate","cake,extra dark chocolate,grated cheese,ground beef,mineral water,olive oil,pancakes,spaghetti"
"cake,chocolate,low fat yogurt","cake,chocolate,low fat yogurt"
low fat yogurt,low fat yogurt
cookies,cookies
"fresh tuna,grated cheese,mineral water,cake,blueberries,light cream,whole weat flour,french fries,escalope","blueberries,cake,escalope,french fries,fresh tuna,grated cheese,light cream,mineral water,whole weat flour"
"mineral water,extra dark chocolate,brownies,asparagus,low fat yogurt","asparagus,brownies,extra dark chocolate,low fat yogurt,mineral water"
"herb & pepper,mineral water,chocolate,milk,salmon,pancakes,eggs,green tea,escalope","chocolate,eggs,escalope,green tea,herb pepper,milk,mineral water,pancakes,salmon"
"tomatoes,spaghetti,soup,milk,olive oil,chicken,green beans,frozen smoothie","chicken,frozen smoothie,green beans,milk,olive oil,soup,spaghetti,tomatoes"
"herb & pepper,pepper,mineral water,fresh bread","fresh bread,herb pepper,mineral water,pepper"
melons,melons
"spaghetti,meatballs","meatballs,spaghetti"
mineral water,mineral water
"ground beef,spaghetti,eggs","eggs,ground beef,spaghetti"
"grated cheese,salmon,oil","grated cheese,oil,salmon"
"grated cheese,mineral water,butter,low fat yogurt","butter,grated cheese,low fat yogurt,mineral water"
low fat yogurt,low fat yogurt
eggs,eggs
"herb & pepper,spaghetti,butter,cooking oil,frozen smoothie,low fat yogurt,honey","butter,cooking oil,frozen smoothie,herb pepper,honey,low fat yogurt,spaghetti"
"burgers,fresh tuna,mineral water,eggs,frozen smoothie,mushroom cream sauce,pancakes,yogurt cake,light mayo,mayonnaise,green tea","burgers,eggs,fresh tuna,frozen smoothie,green tea,light mayo,mayonnaise,mineral water,mushroom cream sauce,pancakes,yogurt cake"
"whole wheat rice,french fries,frozen smoothie,escalope","escalope,french fries,frozen smoothie,whole wheat rice"
"grated cheese,mineral water,chocolate,chutney,salmon,eggs,whole wheat rice,cake","cake,chocolate,chutney,eggs,grated cheese,mineral water,salmon,whole wheat rice"
"ground beef,spaghetti","ground beef,spaghetti"
"red wine,spaghetti,mineral water,mint","mineral water,mint,red wine,spaghetti"
"ground beef,tomato sauce,spaghetti,mineral water,milk,eggs,light cream,cooking oil,cereals,frozen smoothie,mint","cereals,cooking oil,eggs,frozen smoothie,ground beef,light cream,milk,mineral water,mint,spaghetti,tomato sauce"
strawberries,strawberries
"spaghetti,mineral water,whole wheat rice,cookies","cookies,mineral water,spaghetti,whole wheat rice"
"frozen vegetables,mineral water,soup,milk,olive oil,black tea,pancakes,fresh bread","black tea,fresh bread,frozen vegetables,milk,mineral water,olive oil,pancakes,soup"
"turkey,french fries,low fat yogurt","french fries,low fat yogurt,turkey"
cookies,cookies
mineral water,mineral water
"shrimp,mineral water","mineral water,shrimp"
"grated cheese,frozen vegetables,tomatoes,spaghetti,olive oil,energy bar,honey,escalope,cauliflower","cauliflower,energy bar,escalope,frozen vegetables,grated cheese,honey,olive oil,spaghetti,tomatoes"
"mineral water,soup,extra dark chocolate","extra dark chocolate,mineral water,soup"
"red wine,black tea,honey,cake","black tea,cake,honey,red wine"
black tea,black tea
"burgers,chocolate,grated cheese,herb & pepper,ground beef,spaghetti,milk,bacon,corn,pancakes,toothpaste","bacon,burgers,chocolate,corn,grated cheese,ground beef,herb pepper,milk,pancakes,spaghetti,toothpaste"
"grated cheese,ground beef,milk,butter,burger sauce,oil,french fries,low fat yogurt","burger sauce,butter,french fries,grated cheese,ground beef,low fat yogurt,milk,oil"
"grated cheese,herb & pepper,red wine,spaghetti,mineral water,eggs","eggs,grated cheese,herb pepper,mineral water,red wine,spaghetti"
"frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate","chocolate,frozen vegetables,ground beef,mineral water,spaghetti,tomatoes"
"turkey,burgers,grated cheese,pepper,tomato sauce,mineral water,almonds,chutney,pancakes,eggs,escalope,light mayo","almonds,burgers,chutney,eggs,escalope,grated cheese,light mayo,mineral water,pancakes,pepper,tomato sauce,turkey"
cookies,cookies
"ground beef,french fries,pasta","french fries,ground beef,pasta"
french fries,french fries
cookies,cookies
escalope,escalope
"grated cheese,ground beef,spaghetti,mineral water,pancakes,cake","cake,grated cheese,ground beef,mineral water,pancakes,spaghetti"
"tomatoes,ground beef,spaghetti,mineral water,eggs,whole wheat rice,cookies,low fat yogurt,mint","cookies,eggs,ground beef,low fat yogurt,mineral water,mint,spaghetti,tomatoes,whole wheat rice"
whole wheat rice,whole wheat rice
"spaghetti,soup","soup,spaghetti"
"herb & pepper,spaghetti,black tea,cake,cottage cheese,yogurt cake","black tea,cake,cottage cheese,herb pepper,spaghetti,yogurt cake"
cottage cheese,cottage cheese
"pepper,mineral water,pancakes,eggs,cooking oil,chocolate,low fat yogurt","chocolate,cooking oil,eggs,low fat yogurt,mineral water,pancakes,pepper"
"grated cheese,pancakes,blueberries,champagne","blueberries,champagne,grated cheese,pancakes"
"turkey,herb & pepper,parmesan cheese,spaghetti,escalope,mushroom cream sauce,fresh bread,low fat yogurt","escalope,fresh bread,herb pepper,low fat yogurt,mushroom cream sauce,parmesan cheese,spaghetti,turkey"
"fresh tuna,butter,chicken,green tea,chocolate,fresh bread","butter,chicken,chocolate,fresh bread,fresh tuna,green tea"
"frozen vegetables,parmesan cheese","frozen vegetables,parmesan cheese"
"eggs,honey,green tea","eggs,green tea,honey"
"turkey,red wine,whole wheat pasta,pepper,spaghetti,mineral water,soup,avocado,eggs,body spray,low fat yogurt","avocado,body spray,eggs,low fat yogurt,mineral water,pepper,red wine,soup,spaghetti,turkey,whole wheat pasta"
"mineral water,chocolate,black tea","black tea,chocolate,mineral water"
"ground beef,pepper,spaghetti","ground beef,pepper,spaghetti"
"eggs,whole wheat rice,french fries","eggs,french fries,whole wheat rice"
"tomatoes,ground beef,pepper,spaghetti,salmon,cake","cake,ground beef,pepper,salmon,spaghetti,tomatoes"
eggs,eggs
"turkey,chocolate,ground beef,mineral water,pancakes,zucchini","chocolate,ground beef,mineral water,pancakes,turkey,zucchini"
"turkey,burgers,herb & pepper,frozen vegetables,whole wheat pasta,ground beef,spaghetti,mineral water,milk,energy bar,black tea,strong cheese,nonfat milk,eggs","black tea,burgers,eggs,energy bar,frozen vegetables,ground beef,herb pepper,milk,mineral water,nonfat milk,spaghetti,strong cheese,turkey,whole wheat pasta"
"shrimp,frozen vegetables,tomatoes,ground beef,spaghetti","frozen vegetables,ground beef,shrimp,spaghetti,tomatoes"
cake,cake
"spaghetti,mineral water,salmon,gums,burger sauce,clothes accessories,hot dogs,cottage cheese,mint","burger sauce,clothes accessories,cottage cheese,gums,hot dogs,mineral water,mint,salmon,spaghetti"
"fresh tuna,mineral water,honey,low fat yogurt","fresh tuna,honey,low fat yogurt,mineral water"
"cereals,low fat yogurt,green tea","cereals,green tea,low fat yogurt"
"shrimp,mineral water,milk,olive oil,eggs","eggs,milk,mineral water,olive oil,shrimp"
"burgers,mineral water,almonds,eggs,whole wheat rice,escalope","almonds,burgers,eggs,escalope,mineral water,whole wheat rice"
"french fries,magazines,mayonnaise","french fries,magazines,mayonnaise"
"shrimp,chocolate,flax seed,vegetables mix,cooking oil,babies food,low fat yogurt","babies food,chocolate,cooking oil,flax seed,low fat yogurt,shrimp,vegetables mix"
"spaghetti,bug spray,whole weat flour","bug spray,spaghetti,whole weat flour"
"fresh tuna,frozen vegetables,honey,cake,brownies,energy drink","brownies,cake,energy drink,fresh tuna,frozen vegetables,honey"
"burgers,eggs,green tea","burgers,eggs,green tea"
"burgers,chocolate,ground beef,spaghetti,milk,olive oil,eggs,cake","burgers,cake,chocolate,eggs,ground beef,milk,olive oil,spaghetti"
"burgers,shrimp,milk,pancakes,eggs,ham,french fries","burgers,eggs,french fries,ham,milk,pancakes,shrimp"
"burgers,fresh tuna,frozen vegetables,mineral water,milk,cider,eggs,soda,cottage cheese,fresh bread,low fat yogurt","burgers,cider,cottage cheese,eggs,fresh bread,fresh tuna,frozen vegetables,low fat yogurt,milk,mineral water,soda"
"tomato juice,mayonnaise","mayonnaise,tomato juice"
"herb & pepper,shrimp,frozen vegetables,mineral water,meatballs,salmon,eggs,whole wheat rice,carrots","carrots,eggs,frozen vegetables,herb pepper,meatballs,mineral water,salmon,shrimp,whole wheat rice"
cookies,cookies
"butter,eggs","butter,eggs"
"grated cheese,cooking oil,white wine","cooking oil,grated cheese,white wine"
"frozen vegetables,whole wheat pasta,tomato sauce,rice,green tea","frozen vegetables,green tea,rice,tomato sauce,whole wheat pasta"
"green beans,champagne,low fat yogurt","champagne,green beans,low fat yogurt"
"frozen vegetables,ground beef,spaghetti,milk,olive oil,eggs,cooking oil,mint green tea,french fries,low fat yogurt","cooking oil,eggs,french fries,frozen vegetables,ground beef,low fat yogurt,milk,mint green tea,olive oil,spaghetti"
"burgers,chocolate,mineral water,fromage blanc,salmon,eggs,rice,cooking oil,chicken,carrots,tomato juice","burgers,carrots,chicken,chocolate,cooking oil,eggs,fromage blanc,mineral water,rice,salmon,tomato juice"
"turkey,eggs,white wine,green tea","eggs,green tea,turkey,white wine"
eggs,eggs
"burgers,butter,cake,cooking oil,eggplant,cereals,brownies","brownies,burgers,butter,cake,cereals,cooking oil,eggplant"
"champagne,mushroom cream sauce","champagne,mushroom cream sauce"
"grated cheese,herb & pepper,ground beef,spaghetti,salmon,cooking oil,champagne","champagne,cooking oil,grated cheese,ground beef,herb pepper,salmon,spaghetti"
honey,honey
"ground beef,mineral water,honey,low fat yogurt","ground beef,honey,low fat yogurt,mineral water"
"turkey,escalope","escalope,turkey"
"shrimp,extra dark chocolate,whole weat flour","extra dark chocolate,shrimp,whole weat flour"
"eggs,cake","cake,eggs"
"frozen vegetables,mineral water,soup,milk,eggs,energy drink","eggs,energy drink,frozen vegetables,milk,mineral water,soup"
"chicken,frozen smoothie","chicken,frozen smoothie"
"burgers,fresh tuna,grated cheese,spaghetti,mineral water,avocado,olive oil,gums,frozen smoothie,hot dogs,cottage cheese","avocado,burgers,cottage cheese,fresh tuna,frozen smoothie,grated cheese,gums,hot dogs,mineral water,olive oil,spaghetti"
"turkey,grated cheese,shrimp,tomatoes,vegetables mix,brownies,pancakes,tomato juice,green tea","brownies,grated cheese,green tea,pancakes,shrimp,tomato juice,tomatoes,turkey,vegetables mix"
"escalope,green tea","escalope,green tea"
ketchup,ketchup
cookies,cookies
"frozen vegetables,mineral water,pancakes,cake,cooking oil,green tea,shampoo,tomato juice,magazines","cake,cooking oil,frozen vegetables,green tea,magazines,mineral water,pancakes,shampoo,tomato juice"
"herb & pepper,shrimp,ground beef,yogurt cake","ground beef,herb pepper,shrimp,yogurt cake"
"mineral water,eggs","eggs,mineral water"
"chocolate,french fries","chocolate,french fries"
"grated cheese,tomatoes,ground beef,spaghetti,soup,meatballs,cooking oil,low fat yogurt","cooking oil,grated cheese,ground beef,low fat yogurt,meatballs,soup,spaghetti,tomatoes"
"grated cheese,frozen vegetables,ground beef,olive oil,salmon,blueberries","blueberries,frozen vegetables,grated cheese,ground beef,olive oil,salmon"
"tomatoes,spaghetti,milk,olive oil,pancakes,whole wheat rice,green tea,yogurt cake,mint","green tea,milk,mint,olive oil,pancakes,spaghetti,tomatoes,whole wheat rice,yogurt cake"
yogurt cake,yogurt cake
"shrimp,frozen vegetables,tomatoes,spaghetti,milk,butter,chicken,frozen smoothie,tomato juice,mint","butter,chicken,frozen smoothie,frozen vegetables,milk,mint,shrimp,spaghetti,tomato juice,tomatoes"
"burgers,herb & pepper,frozen vegetables,spaghetti,chocolate,milk,butter,flax seed,almonds,bug spray,chili,whole weat flour,low fat yogurt","almonds,bug spray,burgers,butter,chili,chocolate,flax seed,frozen vegetables,herb pepper,low fat yogurt,milk,spaghetti,whole weat flour"
"ground beef,spaghetti,mineral water,almonds,eggs,cereals,green tea","almonds,cereals,eggs,green tea,ground beef,mineral water,spaghetti"
ground beef,ground beef
"frozen vegetables,butter,whole wheat rice,pet food,fresh bread","butter,fresh bread,frozen vegetables,pet food,whole wheat rice"
"tomatoes,ground beef,muffins,eggs,cookies","cookies,eggs,ground beef,muffins,tomatoes"
"soup,milk,pancakes,honey,mint green tea,cottage cheese","cottage cheese,honey,milk,mint green tea,pancakes,soup"
"herb & pepper,ground beef,spaghetti,mineral water,soup,cream,pancakes,french fries,frozen smoothie","cream,french fries,frozen smoothie,ground beef,herb pepper,mineral water,pancakes,soup,spaghetti"
"turkey,ground beef,chocolate,cookies,tomato juice","chocolate,cookies,ground beef,tomato juice,turkey"
"ground beef,spaghetti,butter,french wine,eggs,whole weat flour,hot dogs,sparkling water,brownies,body spray,energy drink","body spray,brownies,butter,eggs,energy drink,french wine,ground beef,hot dogs,spaghetti,sparkling water,whole weat flour"
"turkey,tomatoes,ground beef,spaghetti,mineral water,meatballs,french fries","french fries,ground beef,meatballs,mineral water,spaghetti,tomatoes,turkey"
"red wine,ground beef,spaghetti,mineral water,black tea,mayonnaise,low fat yogurt","black tea,ground beef,low fat yogurt,mayonnaise,mineral water,red wine,spaghetti"
"burger sauce,escalope","burger sauce,escalope"
"frozen vegetables,parmesan cheese,ground beef,spaghetti,eggs,tea,escalope","eggs,escalope,frozen vegetables,ground beef,parmesan cheese,spaghetti,tea"
tomatoes,tomatoes
"shrimp,soup,gums,barbecue sauce","barbecue sauce,gums,shrimp,soup"
"frozen smoothie,melons","frozen smoothie,melons"
"turkey,ham,chocolate,muffins,pancakes,cake,rice,chicken,green tea,low fat yogurt","cake,chicken,chocolate,green tea,ham,low fat yogurt,muffins,pancakes,rice,turkey"
"mineral water,pancakes,oil","mineral water,oil,pancakes"
"red wine,cake,champagne","cake,champagne,red wine"
"cottage cheese,light mayo","cottage cheese,light mayo"
"french fries,pancakes","french fries,pancakes"
"red wine,tomatoes,ground beef,spaghetti,mineral water,olive oil,chicken,whole wheat rice,chili,chocolate bread","chicken,chili,chocolate bread,ground beef,mineral water,olive oil,red wine,spaghetti,tomatoes,whole wheat rice"
"turkey,olive oil,green tea,honey","green tea,honey,olive oil,turkey"
"french wine,cake","cake,french wine"
low fat yogurt,low fat yogurt
"black tea,eggs,whole wheat rice,low fat yogurt,green tea","black tea,eggs,green tea,low fat yogurt,whole wheat rice"
"tomatoes,green tea","green tea,tomatoes"
"frozen vegetables,tomatoes,parmesan cheese,mineral water","frozen vegetables,mineral water,parmesan cheese,tomatoes"
"red wine,parmesan cheese,ground beef,spaghetti,hand protein bar,cauliflower,mint","cauliflower,ground beef,hand protein bar,mint,parmesan cheese,red wine,spaghetti"
"pickles,cereals,green tea","cereals,green tea,pickles"
mint,mint
mineral water,mineral water
"frozen vegetables,ground beef,eggs,low fat yogurt","eggs,frozen vegetables,ground beef,low fat yogurt"
"mineral water,chocolate,milk,eggs,toothpaste,low fat yogurt","chocolate,eggs,low fat yogurt,milk,mineral water,toothpaste"
escalope,escalope
"mineral water,soup,olive oil","mineral water,olive oil,soup"
"turkey,spaghetti,chicken,whole weat flour,cottage cheese,fresh bread","chicken,cottage cheese,fresh bread,spaghetti,turkey,whole weat flour"
"shrimp,frozen vegetables","frozen vegetables,shrimp"
"red wine,flax seed,cake,frozen smoothie,hot dogs,toothpaste","cake,flax seed,frozen smoothie,hot dogs,red wine,toothpaste"
cream,cream
"milk,butter,green grapes,chocolate,escalope","butter,chocolate,escalope,green grapes,milk"
"burgers,ground beef,spaghetti,mineral water,oil,barbecue sauce,yogurt cake,low fat yogurt","barbecue sauce,burgers,ground beef,low fat yogurt,mineral water,oil,spaghetti,yogurt cake"
escalope,escalope
champagne,champagne
carrots,carrots
chocolate,chocolate
"chocolate,herb & pepper,ground beef,spaghetti,mineral water,olive oil,rice,french fries","chocolate,french fries,ground beef,herb pepper,mineral water,olive oil,rice,spaghetti"
"tomato sauce,mineral water,cake","cake,mineral water,tomato sauce"
"turkey,pancakes","pancakes,turkey"
french fries,french fries
"honey,whole wheat rice","honey,whole wheat rice"
"chocolate,grated cheese,spaghetti,butter,honey,cake,rice,french fries,energy drink","butter,cake,chocolate,energy drink,french fries,grated cheese,honey,rice,spaghetti"
"ground beef,yams,eggs,chicken,pasta","chicken,eggs,ground beef,pasta,yams"
french fries,french fries
"milk,green beans,mint","green beans,milk,mint"
"honey,chocolate,french fries,escalope","chocolate,escalope,french fries,honey"
"mineral water,chicken,magazines","chicken,magazines,mineral water"
"bug spray,light mayo","bug spray,light mayo"
"mineral water,salmon,vegetables mix,cereals,escalope","cereals,escalope,mineral water,salmon,vegetables mix"
"spaghetti,milk,olive oil,low fat yogurt","low fat yogurt,milk,olive oil,spaghetti"
"burgers,eggs,frozen smoothie","burgers,eggs,frozen smoothie"
chocolate,chocolate
"mineral water,french wine,chicken","chicken,french wine,mineral water"
pepper,pepper
